file_name,rows,columns,missing_ratio,numeric_cols,categorical_cols
Bicycle_이동수단_보유_현황_데이터.csv,12526.0,9.0,0.0,2.0,7.0
Bicycle_국민생활체육조사_체육활동_이동수단_데이터.xlsx,86.0,78.0,0.0,0.0,78.0
Bicycle_국민생활체육조사_주요참여_체육활동_데이터.xlsx,74.0,55.0,0.0,0.0,55.0
Bicycle_국민생활체육조사_가입희망_체육동호회_데이터.xlsx,74.0,59.0,0.0,0.0,59.0
