131011368801 통계분류(2),131011368801 통계분류(3),Y2024 2024,Y2024 2024.1,Y2024 2024.2,Y2024 2024.3,Y2024 2024.4,Y2024 2024.5,Y2024 2024.6,Y2024 2024.7,Y2024 2024.8,Y2024 2024.9,Y2024 2024.10,Y2024 2024.11,Y2024 2024.12,Y2024 2024.13,Y2024 2024.14,Y2024 2024.15,Y2024 2024.16,Y2024 2024.17,Y2024 2024.18,Y2024 2024.19,Y2024 2024.20,Y2024 2024.21,Y2024 2024.22,Y2024 2024.23,Y2024 2024.24,Y2024 2024.25,Y2024 2024.26,Y2024 2024.27,Y2024 2024.28,Y2024 2024.29,Y2024 2024.30,Y2024 2024.31,Y2024 2024.32,Y2024 2024.33,Y2024 2024.34,Y2024 2024.35,Y2024 2024.36,Y2024 2024.37,Y2024 2024.38,Y2024 2024.39,Y2024 2024.40,Y2024 2024.41,Y2024 2024.42,Y2024 2024.43,Y2024 2024.44,Y2024 2024.45,Y2024 2024.46,Y2024 2024.47,Y2024 2024.48,Y2024 2024.49,Y2024 2024.50,Y2024 2024.51,Y2024 2024.52,Y2024 2024.53,Y2024 2024.54,Y2024 2024.55,Y2024 2024.56
131021368801.008003 사무종사자,소계,15.9,6.3,11.8,7.6,2.6,5.3,7.8,4.4,6.5,6.3,0.2,4.4,0.8,4,2.7,2.5,4.8,4,4.2,2.9,2.8,1.6,4.7,3.8,1.4,1.8,3,1.1,0.3,1,1.4,1.3,2.1,1,0.3,0.8,1.4,1.2,1,0,0.4,0.6,0,0.1,0,0,0,0,0,0,0,0.2,0,0,0.2,0,0.2
131021368801.008004 서비스종사자,소계,10.9,15.5,5.5,3.6,10.3,12.3,6.6,4.8,7.5,2.3,1.6,3.9,1.2,5.1,9.1,7.3,2.7,3.6,4.5,3.6,0.8,3.6,1.5,0.5,3.3,1.3,0.3,1.1,1,2.2,0.6,0.9,1.3,1.2,0.3,0.6,0,1.3,0.7,1,0,1,0,0,0.2,0,1,0,0,0,0,0.7,0.4,0,0,0,0
131021368801.008005 판매종사자,소계,16,9.8,13.3,4.6,11.6,8.8,4.2,7.3,2,1.8,3.8,6.7,1.1,0.5,5.2,5.9,3.1,4.3,2.4,1.5,1.6,0.8,5.1,1.3,6.1,3.8,0,0.9,1.8,1.3,1.3,0,0,0.7,0.9,1.7,0,0,0.5,1.5,0.5,0,0,0,0.4,0,0,0.9,0,0,0,0,0,0,0,0,0
131021368801.008006 농림어업숙련종사자,소계,4,0,2.2,3.3,7.3,34.1,0,6.9,0,11.8,19.4,8.9,0,10.9,4.5,0,0,0,0,3.6,0,0,0,3.3,0,0,0,0,1.4,3.6,3.2,0,0,0,3,0,3.2,0,0,0,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0
131021368801.008007 기능원및관련기능,소계,7.5,0,20.2,10.4,6.7,18.3,2.7,4.3,4.9,6,1,9.9,0.9,11.4,3.5,0,0.9,2.8,3.5,1.1,5,2.3,0,1.8,0,5.3,0,0.9,2.1,0,1,0,0,0.9,1.4,0.9,2.9,1.1,2.2,0,0,0,0,0,2.9,0,0,0,0,2.6,0,0,0,0,0,0,0
131021368801.008008 장치/기계조작및조립,소계,12.3,1.1,12,14.7,6.2,11.1,4.3,5,4.2,4.4,6.1,14.6,4,4.3,1.2,0,3.3,6,1.8,0.9,2.7,0,1.1,2.7,0,4.5,0,0.9,0,0,0,0,0,0,0.9,0,0,2.2,0,0,0,0,1,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0
131021368801.008009 단순노무종사자,소계,5,3.8,5.5,3.1,10.3,11.1,0.5,7.9,7.5,5.6,25.1,4.9,0,13.6,2.6,1.1,4.3,1.3,2.7,2.2,2.9,1.2,1.6,2,5,2.6,0.5,0,2.3,1.1,0,0.5,3.2,2.8,2.6,0,0,0,0,2.3,0,0,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131021368801.008010 군인,소계,40.6,0,40.6,0,40.6,0,0,0,0,0,0,0,0,40.3,0,0,0,0,0,0,0,0,0,0,0,0,19.1,0,0,19.1,40.3,0,0,19.1,0,40.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131021368801.008011 전업주부,소계,9.2,29.2,3,3.8,26,4.2,5.7,6,2.6,3,14.1,4.4,0,0,1.6,6.8,1.1,0.2,2.5,0,0,8.4,0.7,0,4.8,0,0,0,7,1.3,0.9,0,0,0,0.9,0,0,0,0,0,0,1.1,0,0,0,0.8,1.1,0,0,0,0.4,0,0,0,0,0,0
131021368801.008012 학생,소계,0.5,9.1,8.1,17.8,3.2,0.2,8.4,7.4,4.8,8,0.3,2.3,19.7,0,5.5,5.7,7,4.7,4.7,6.5,4.1,0.6,1.2,2.6,0.4,1.5,3.6,4.2,0.3,1.8,1.2,3.4,1.5,1.1,2.3,1.9,0.9,0.4,1.1,0.6,0,0.4,1,1.8,0.2,0.2,0,0.2,0.2,0.2,0.3,0.5,0,0.5,0,0.2,0.1
131021368801.008013 무직/기타,소계,6.3,7.1,8.9,2,0,12.9,3.1,2.1,0,0,37.4,0,6.5,11.9,2.3,0,0,3.3,0,4.7,0,3.4,0,3.7,0,0,0,2.1,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0
131021368801.009001 100만원 미만,소계,0,12.9,0,0,6.1,11.9,0,0,0,0,31.5,5.4,0,0,0,0,0,0,6.1,0,0,0,17.5,13.8,12.9,0,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131021368801.009002 100-200만원 미만,소계,6.7,7.3,4.1,0,7.1,16.6,0,0,0,0,48.6,9.5,0,6.6,3.8,3.3,0,0.9,0,0,0,5.3,0,0.6,2.5,0,0,0,4.3,1.3,0,0,0,0,2.1,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0
131021368801.009003 200-300만원 미만,소계,4.8,3,9,4.4,13.9,6.6,3.3,2.4,3.7,2,23.8,2.1,1.4,3.9,6.5,2.7,3,2.5,1.1,3.9,1.6,9.8,3.3,1.5,0,1.3,1.2,1.9,1.8,0.4,0,2.2,1,0.9,1.3,0.7,0.4,0,1,2.3,0,1.6,0,0.4,0,0.4,1.6,0,0,0,0,0,0,0,0,0,0
131021368801.009004 300-400만원 미만,소계,8.2,10.4,9,11.3,9.9,8.7,4.8,4.8,4.6,2.4,7.4,4.1,4.2,4,2.4,3.4,2.2,4.3,3.8,3.1,0.3,1.6,2.1,1.4,4.5,2.1,2.5,1,0.2,2,2.2,1.2,1.2,0.7,0,0.8,0.7,0.3,0.3,0.3,0,0,0.2,0.2,0.3,0.3,0.3,0.3,0,0.4,0,0.4,0.4,0.3,0,0,0
131021368801.009005 400-500만원 미만,소계,12.5,13.9,10.5,7.4,9.8,9.1,7.1,4.5,4.9,5.7,1.9,7.4,3.7,3.4,5.1,3.1,3.8,2.3,1.7,2.4,2,0.9,1.6,2.2,1.6,2.5,1.7,1.6,0.6,0.9,0.6,0.2,0.7,1.4,1,1.1,0.5,0.6,0.6,0.3,0,0.4,0.3,0.3,0,0,0.5,0.2,0.2,0,0.2,0.3,0,0,0,0,0.1
131021368801.009006 500-600만원 미만,소계,9.6,8.7,11.2,10.3,5.1,4.5,4.9,8.4,4.2,7.8,0.2,4.8,5.7,3.2,3.9,6.6,5.3,4.1,3.4,3.4,4.1,1.9,1.9,3.2,1,2.5,1.3,1.6,3.3,1.8,1.2,1.5,1,1,0.9,0.5,0.2,0.8,1.1,0.2,0,0.5,1.1,0.5,0.6,0.4,0,0.4,0.3,0.4,0.2,0.3,0,0.2,0.2,0,0
131021368801.009007 600-700만원 미만,소계,13.3,10.6,7.4,9.3,6.8,6.8,9.8,9.1,7.8,3.9,1.1,2.2,6.9,8,5.3,3.3,6.9,4.7,5.2,2.1,2.8,1.3,0.8,3,2.9,0.7,2.2,2.5,0,2,2.2,1.3,0.5,1.4,1.7,1,1.8,0.9,0,0,0,0,0,0.7,0.3,0,0,0,0,0,0,0.6,0,0,0,0,0
131021368801.009008 700-800만원 미만,소계,13.1,10.1,11.3,7.5,4.6,9.2,7.6,5.4,7.8,8.1,0,2.6,5.8,5.3,4.7,3.2,2.1,6.2,4.5,0.9,4,0.9,2.6,2,2.4,1,0,0.9,1.3,0.4,1.1,0.4,1.7,0.4,1.2,1.6,2.2,0.9,2,1.3,1.5,1.1,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0.3,0.6
131021368801.009009 800-900만원 미만,소계,10.1,0,4.3,9.4,4,4.7,11,4.2,6.2,2.7,0,1.6,5.6,4.5,2.5,3,1.5,1.5,13.8,11.1,0,1.6,19.3,0,3.5,2.6,3.6,0,2.2,0.8,1.5,4.7,4.2,0,0,0,0,4.9,0,0,0,0,0,0,1.7,3.8,0,0,0,0,0,0,0,0,0,0,0
131021368801.009010 900만원 이상,소계,28.3,12.4,5.9,2.5,4.1,8.7,3.9,0,0,2.7,1.3,12.2,1.9,0,0,6,0,0,1.5,8.3,0,15.7,0,0,4.2,0,0,0,0,0,1.4,0,5.9,0,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
