131011368801 통계분류(2),131011368801 통계분류(3),Y2024 2024,Y2024 2024.1,Y2024 2024.2,Y2024 2024.3,Y2024 2024.4,Y2024 2024.5,Y2024 2024.6,Y2024 2024.7,Y2024 2024.8,Y2024 2024.9,Y2024 2024.10,Y2024 2024.11,Y2024 2024.12,Y2024 2024.13,Y2024 2024.14,Y2024 2024.15,Y2024 2024.16,Y2024 2024.17,Y2024 2024.18,Y2024 2024.19,Y2024 2024.20,Y2024 2024.21,Y2024 2024.22,Y2024 2024.23,Y2024 2024.24,Y2024 2024.25,Y2024 2024.26,Y2024 2024.27,Y2024 2024.28,Y2024 2024.29,Y2024 2024.30,Y2024 2024.31,Y2024 2024.32,Y2024 2024.33,Y2024 2024.34,Y2024 2024.35,Y2024 2024.36,Y2024 2024.37,Y2024 2024.38,Y2024 2024.39,Y2024 2024.40,Y2024 2024.41,Y2024 2024.42,Y2024 2024.43,Y2024 2024.44,Y2024 2024.45,Y2024 2024.46,Y2024 2024.47,Y2024 2024.48,Y2024 2024.49,Y2024 2024.50,Y2024 2024.51,Y2024 2024.52,Y2024 2024.53,Y2024 2024.54,Y2024 2024.55,Y2024 2024.56
131021368801.004002 여자,소계,7.9,25.1,4.4,1.3,16.7,7,7.4,7.7,4.9,4,6.2,4.6,0.8,0.5,4.2,9.6,3.2,2.3,2.8,0.3,0.8,5.9,2.7,0.4,5.5,0,0.1,1.4,2.3,1.9,1.9,1.4,0.7,0.4,0.9,0.6,0.8,0.4,0,0.2,0.1,0.5,0.7,0.2,0.1,0.5,0.4,0,0,0,0.2,0,0.1,0.1,0,0.1,0.1
131021368801.005001 10대,소계,0.5,9.1,7.5,21.1,1.8,0.3,8.5,7.6,5.3,5.5,0,2.3,14.5,0,5.9,7.4,7.8,5.1,4.5,7.6,4.5,0.8,1.6,1.4,0.3,1.4,4.7,4.4,0,2.2,1.4,3.7,1.2,1,2.5,2.5,1.3,0.3,1.6,0.8,0,0.5,1.4,2,0.3,0,0,0.3,0.3,0.3,0.4,0.4,0,0.4,0,0.3,0
131021368801.005002 20대,소계,3.5,12.7,9.8,8.5,4.7,0,9.8,3.1,7.7,11.2,0.3,1.8,14.4,0.3,6.2,2,8.7,6.7,7.5,4.5,2.9,0.9,4.3,1.7,0.6,1.6,1.5,1.7,0.4,1.2,0.7,2.4,2.9,1.8,1.1,1.3,0,1.8,1.8,0.5,0,0,0,0.4,0,0.5,0.2,0.3,0,0,0,0.3,0.3,0.2,0,0,0.1
131021368801.005003 30대,소계,15,13.3,10.8,7.7,7.4,4.2,11.7,3.2,6.6,4.2,0,3.1,0.7,2,3.8,2.6,3.9,4.7,4.3,2.7,3.9,1.4,2.4,3.5,1.7,0.9,2.6,2.2,0,1.6,1.9,0.4,1.9,1.9,0.5,0.6,1.8,1.1,0.9,0.7,0.9,0.9,0,0.1,0.2,0,1.2,0.2,0.3,0.3,0,0.9,0,0,0,0,0.3
131021368801.005004 40대,소계,15,8.2,11.5,9.7,5.7,7.5,3,9.6,6.2,6.5,0.2,7.3,1,5.3,3.9,3.9,2.5,3.1,2.9,2.9,3,0.5,3.5,3.8,3.4,4.7,0.3,0.5,1.7,1.7,1.8,0.9,0.5,0.5,0.4,0.6,1,0.2,0.3,0,0,0,1,0,1.1,0,0,0.2,0,0.3,0,0,0,0,0.2,0,0
131021368801.005005 50대,소계,18.1,11.6,9.3,5,12.9,13.2,2.8,6.5,3.5,1.9,1.4,7.5,0.2,6.8,4,5.8,0.8,2.1,1.3,0.8,0,3.9,1.3,1.4,3.2,0.9,0.9,0.6,2.3,1.1,1.3,0,0,0.5,0.7,0.6,0.3,0.8,0,0.8,0.6,1.2,0,0,0.3,0.4,0,0,0,0,0,0,0,0,0,0,0
131021368801.005006 60대,소계,8.9,3.7,9,1.2,17.2,21.5,1.7,6.1,0.8,1.3,22.9,6,0,10.3,2.5,3.9,0,0,0,0.3,0,7.2,0,1,3.6,1.6,0,0,4.8,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0.4,0,0,0,0,0,0
131021368801.005007 70세 이상,소계,7.2,2,2.5,0.9,3.9,16,0,1.2,0,0,50.2,4,0,14.9,2.3,0,0,0,0,0,0,6.9,1.4,0.3,3.8,0,0,0,1.1,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0
131021368801.006001 남자,131021368801.006001001 10대,0.8,0,9.9,31.4,0,0,3.8,5.1,5.6,7.4,0,3.1,19.2,0,7.6,0.5,5.5,3.8,3.8,10.9,4.6,0,2.3,1.7,0,2,7,3.6,0,1.6,1.4,2.8,1.8,1.1,1,2.5,1.2,0,2.4,0.5,0,0,0.4,2.2,0.4,0,0,0.5,0.5,0.4,0,0.6,0,0.6,0,0,0
131011368801 통계분류(2),131021368801.006001002 20대,4.6,0.4,11.2,12.6,3.1,0,12.1,2.1,7.8,12.7,0.5,1.3,21.2,0.4,5.6,0,8.6,8,9.1,6.5,3.7,0.4,2.2,2.7,0,2.6,2.4,2,0.2,1.7,0,2.7,3.5,2.8,1.2,1,0,1.7,2.7,0.8,0,0,0,0.6,0,0.4,0,0.4,0,0,0,0.4,0,0,0,0,0.2
131011368801 통계분류(2),131021368801.006001003 30대,15.7,0,14.4,9,1.6,4.2,7.9,3.2,6.1,5.4,0,4.1,1.1,2.6,3.4,0,5,6.1,2.8,4.1,6.1,0,3.7,5.7,0,1.5,3.8,2.6,0,0.2,0.7,0.3,1.9,2.4,0.9,1,1.1,1.9,1.4,1.1,1.1,1.1,0,0,0,0,1.1,0.3,0.5,0.5,0,1.5,0,0,0,0,0
131011368801 통계분류(2),131021368801.006001004 40대,19.7,0,13.4,15.7,2.5,4.7,2.9,7.6,7.4,4.7,0,4.1,1.6,8.3,6.3,0.2,3.7,4.2,4.3,4.7,4.5,0,1.8,5.9,0,7.7,0.5,0.5,1.8,1.1,1.3,0,0.4,0.4,0.3,0.9,1.7,0.4,0.5,0,0,0,0.4,0,1.8,0,0,0.4,0,0.6,0,0,0,0,0.4,0,0
131011368801 통계분류(2),131021368801.006001005 50대,22.6,0,14.4,8.6,3.2,15.7,3.1,5.2,3.1,2.5,0.5,9.4,0.3,11.7,2.3,1.4,1.4,3.4,1.9,1.4,0,0,1.9,1.8,0,1.7,1.6,0.5,0,1.1,1.4,0,0,0.9,0.8,1,0.5,1.4,0,1.4,1.1,1.1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
131011368801 통계분류(2),131021368801.006001006 60대,11.5,0,17.4,2.3,2.4,29.8,1.6,5.4,0,0.8,19.3,8.8,0,19.9,0.7,0,0,0,0,0.7,0,0,0,1.9,0,3.1,0,0,3.4,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0
131011368801 통계분류(2),131021368801.006001007 70세 이상,7,0.5,3.9,1.4,0,21.7,0,0,0,0,48.4,3.6,0,22.3,0.9,0,0,0,0,0,0,0,0,0.5,0,0,0,0,1.8,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0
131021368801.006002 여자,131021368801.006002001 10대,0,27.7,2.7,0,5.5,1.1,18,12.8,4.5,1.5,0,0.8,4.8,0,2.4,21.4,12.3,7.8,5.9,0.8,4.1,2.4,0,0.8,0.8,0,0,6,0,3.4,1.4,5.5,0,0.8,5.5,2.6,1.6,0.8,0,1.5,0,1.6,3.3,1.7,0,0,0,0,0,0,1.2,0,0,0,0,0.8,0
131011368801 통계분류(2),131021368801.006002002 20대,1.6,35.2,7.2,0.9,7.8,0,5.6,5,7.5,8.5,0,2.6,1.9,0,7.3,5.8,9,4.2,4.4,0.8,1.3,1.8,8.2,0,1.6,0,0,1.3,0.8,0.5,1.9,1.9,1.8,0,0.7,1.9,0,1.9,0,0,0,0,0,0,0,0.7,0.7,0,0,0,0,0,0.9,0.6,0,0,0
