RESPOND_ID,EXAMIN_BEGIN_DE,HOLD_INDVDL_MVMN_MN_ONE_TY,SEXDSTN_FLAG_NM,AGRDE_FLAG_NM,HSHLD_COMPO_NM,HSHLD_INCOME_DGREE_NM,OCCP_CL_NM,ANSWRR_OC_AREA_NM
1378,20230701,"오토바이(바이크, 스쿠터)",남성,30대,자녀 성장기(막내가 초등학생～고등학생),400만원 내외,사무직,경기
1379,20230701,전기 자전거,남성,40대,자녀 성인기(막내가 대학생～결혼 전),"1,000만원 내외",기술/숙련직,대전
1386,20230701,전동 스케이트보드,여성,30대,1인 가구,300만원 내외,사무직,경기
1387,20230701,"오토바이(바이크, 스쿠터)",남성,60대 이상,자녀 독립기(막내가 결혼한 상태),400만원 내외,무직/기타,대구
1401,20230701,전동 킥보드,남성,40대,자녀 성장기(막내가 초등학생～고등학생),600만원 내외,경영/관리직,부산
1402,20230701,전동 킥보드,남성,40대,자녀 유아기(막내가 초등학교 입학 전),400만원 내외,사무직,경기
1418,20230701,전기 자전거,남성,50대,자녀 성인기(막내가 대학생～결혼 전),"1,100~1,500만원 내외",경영/관리직,경기
1424,20230701,전기 자전거,남성,40대,자녀 성장기(막내가 초등학생～고등학생),300만원 내외,기술/숙련직,서울
1425,20230701,"오토바이(바이크, 스쿠터)",남성,50대,자녀 성인기(막내가 대학생～결혼 전),500만원 내외,전문직,경기
1433,20230701,전동 킥보드,남성,40대,자녀 유아기(막내가 초등학교 입학 전),"1,000만원 내외",사무직,서울
1439,20230701,전기 자전거,남성,40대,자녀 성장기(막내가 초등학생～고등학생),800만원 내외,경영/관리직,경기
1461,20230701,"오토바이(바이크, 스쿠터)",여성,30대,자녀 성장기(막내가 초등학생～고등학생),500만원 내외,기술/숙련직,경기
1467,20230701,전기 자전거,남성,30대,1인 가구,600만원 내외,전문직,서울
1469,20230701,전기 자전거,남성,30대,자녀 유아기(막내가 초등학교 입학 전),600만원 내외,일반 공무원/준공무원,충북
