131011264311 통계분류(2),131011264311 통계분류(3),Y2016 2016,Y2016 2016.1,Y2016 2016.2,Y2016 2016.3,Y2016 2016.4,Y2016 2016.5,Y2016 2016.6,Y2016 2016.7,Y2016 2016.8,Y2017 2017,Y2017 2017.1,Y2017 2017.2,Y2017 2017.3,Y2017 2017.4,Y2017 2017.5,Y2017 2017.6,Y2017 2017.7,Y2018 2018,Y2018 2018.1,Y2018 2018.2,Y2018 2018.3,Y2018 2018.4,Y2018 2018.5,Y2018 2018.6,Y2018 2018.7,Y2019 2019,Y2019 2019.1,Y2019 2019.2,Y2019 2019.3,Y2019 2019.4,Y2019 2019.5,Y2019 2019.6,Y2019 2019.7,Y2019 2019.8,Y2019 2019.9,Y2020 2020,Y2020 2020.1,Y2020 2020.2,Y2020 2020.3,Y2020 2020.4,Y2020 2020.5,Y2020 2020.6,Y2020 2020.7,Y2021 2021,Y2021 2021.1,Y2021 2021.2,Y2021 2021.3,Y2021 2021.4,Y2021 2021.5,Y2021 2021.6,Y2022 2022,Y2022 2022.1,Y2022 2022.2,Y2022 2022.3,Y2022 2022.4,Y2022 2022.5,Y2022 2022.6,Y2022 2022.7,Y2022 2022.8,Y2023 2023,Y2023 2023.1,Y2023 2023.2,Y2023 2023.3,Y2023 2023.4,Y2023 2023.5,Y2023 2023.6,Y2023 2023.7,Y2023 2023.8,Y2024 2024,Y2024 2024.1,Y2024 2024.2,Y2024 2024.3,Y2024 2024.4,Y2024 2024.5,Y2024 2024.6,Y2024 2024.7
131011264311 통계분류(2),131011264311 통계분류(3),13103126431T1 도보,13103126431T2 자가용 승용/승합차,13103126431T3 버스(대중교통),13103126431T4 자전거,13103126431T5 지하철,13103126431T6 오토바이,13103126431T7 택시,13103126431T10 배(선박),13103126431T12 없음,13103126431T1 도보,13103126431T2 자가용 승용/승합차,13103126431T3 버스(대중교통),13103126431T4 자전거,13103126431T5 지하철,13103126431T6 오토바이,13103126431T7 택시,13103126431T13 모름/무응답,13103126431T1 도보,13103126431T2 자가용 승용/승합차,13103126431T3 버스(대중교통),13103126431T4 자전거,13103126431T5 지하철,13103126431T6 오토바이,13103126431T7 택시,13103126431T8 셔틀버스,13103126431T1 도보,13103126431T2 자가용 승용/승합차,13103126431T3 버스(대중교통),13103126431T4 자전거,13103126431T5 지하철,13103126431T6 오토바이,13103126431T7 택시,13103126431T8 셔틀버스,13103126431T9 전세버스,13103126431T12 없음,13103126431T1 도보,13103126431T2 자가용 승용/승합차,13103126431T3 버스(대중교통),13103126431T4 자전거,13103126431T5 지하철,13103126431T6 오토바이,13103126431T7 택시,13103126431T8 셔틀버스,13103126431T1 도보,13103126431T2 자가용 승용/승합차,13103126431T3 버스(대중교통),13103126431T4 자전거,13103126431T5 지하철,13103126431T6 오토바이,13103126431T12 없음,13103126431T1 도보,13103126431T2 자가용 승용/승합차,13103126431T3 버스(대중교통),13103126431T4 자전거,13103126431T5 지하철,13103126431T6 오토바이,13103126431T7 택시,13103126431T11 기타,13103126431T12 없음,13103126431T1 도보,13103126431T2 자가용 승용/승합차,13103126431T3 버스(대중교통),13103126431T4 자전거,13103126431T5 지하철,13103126431T6 오토바이,13103126431T7 택시,13103126431T11 기타,13103126431T12 없음,13103126431T1 도보,13103126431T2 자가용 승용/승합차,13103126431T3 버스(대중교통),13103126431T4 자전거,13103126431T5 지하철,13103126431T6 오토바이,13103126431T7 택시,13103126431T12 없음
131021264311.009004 300-400만원 미만,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,76.1,35.1,10.2,7.2,1.5,0.4,0,0.1,7.5,85.9,32.7,13.1,5.7,0.8,0.6,0.2,0.3,6.4,83.9,29.1,10.4,7.2,0.8,0.4,0.2,5.5
131021264311.009005 400-500만원 미만,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,76.5,33.5,10.1,9.6,1.4,0.1,0.4,1.5,7.9,85.9,41.2,11.6,5.5,0.4,0.1,0.2,0,5,86.1,31,9.9,7.2,0.3,0.1,0,4.8
131021264311.009006 500-600만원 미만,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,73.6,33,9.8,8.4,3.5,0.2,0,0.6,5.1,82.3,40.9,12.7,6.6,1.2,0.3,0.2,0.1,6,78.7,31.2,12.1,7.5,0.4,0.1,0.1,5.4
131021264311.009007 600-700만원 미만,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,71.9,39.2,9.2,7.3,3.4,0,0.3,0.4,3.9,84.7,39,17.2,5.5,0.9,0.1,0,0,5.9,74.5,36.6,13.9,9.2,0.6,0.1,0.1,5.9
131021264311.009008 700-800만원 미만,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,79,48.9,9.4,12.5,2.8,0,0,0,4.6,86.6,44.1,11.8,5.1,2,0.7,0,0,3.1,78.9,54.3,8.6,5.9,0.8,0,0.2,5.3
131021264311.009009 800-900만원 미만,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,87.6,54.5,6.5,10.6,0,0,0,0,3,65,56.1,6.8,5.5,4.6,0,0,0.3,2.6,75.4,51.5,8.7,3.9,0,0,0,1.6
131021264311.009010 900만원 이상,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,62.5,73.4,10,17.5,0.6,1.1,0,0.3,4.8,70.5,57.8,12.7,10.3,4.4,0,0,0,5.2,73.4,48,10.9,0.3,4.1,0,0,1.4
131021264311.009011 100~150만원미만,소계,98.2,7.9,3.4,5.9,1,0.6,0,0,3.6,89.7,7,8.1,8.8,0,0.1,0,0.6,103,8.6,7.6,4.7,0,0.4,0,0.6,99.5,10,10.9,1.6,0.8,0,0,0.5,0,4.8,114.2,8.3,7.6,3.5,0.5,0.5,0.4,0.8,98.3,7.4,6.7,1.4,1.7,0,5.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
131021264311.009012 150~200만원미만,소계,93.6,11,7.5,7.6,1.5,0.7,0.5,0,8.2,110.5,8.5,4.6,3.3,0.3,0.2,0,0.5,104.7,11.3,7.8,9.5,0.1,0.1,0,0,94.5,11.3,14.2,3.1,0,0.3,0,0.3,0,6.5,95.9,14.5,13.4,8,0,0,0.2,0.7,92.9,6.4,9.5,6.8,0.8,0.4,6.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
131021264311.009013 200~250만원미만,소계,98.2,24.1,7.7,5.3,0.8,0.5,0,0,5.3,83.6,27,9.8,13.9,3.8,0.2,0,1.1,93.7,25.2,12.9,4.1,0.4,1,0.6,0.6,99.1,16.5,7,2.9,0.9,0.2,0,1.3,0,10.7,102,19,13.4,7.7,0.5,0,0,0,93.7,19.8,10.3,6.3,1.9,0,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
131021264311.009014 250~300만원미만,소계,94.9,29.5,9.1,3.9,0,0,1.1,0,6.3,93.1,24.7,6,5,1.7,0.6,0,0.8,92.2,35.5,7.2,11.2,1.2,0.7,0,0.3,85,29.9,16.1,3.8,0.9,1,0.1,0.3,0,6.2,95.8,25.4,11.5,5.6,1.3,0.3,0.2,0.1,87.4,24.1,7.4,3.8,2.1,0,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
131021264311.009015 300~350만원미만,소계,100.6,22.4,6.6,6.1,1.3,0.6,0.1,0.1,8.5,93.8,28.1,6.4,5.9,2.5,0.4,0.1,0.9,91.6,38.9,6.9,7.9,1.5,0.4,0.1,0.3,85.2,40.7,6.7,7.4,0.8,0.1,0.1,0,0,5,89.5,30.1,9.7,8.4,1,0,0.4,0.4,79.4,32.3,7,6.9,0.4,0.5,6.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
131021264311.009016 350~400만원미만,소계,96.6,23.5,10.5,8.4,0.6,0.3,0,0,7.6,86.2,34.6,11.6,8.7,2.8,0.9,0,0.2,89.9,33,12.8,10.5,4.2,0.3,0,0,86.6,35.7,13.1,6.2,0.6,0.7,0,0.1,0,4.4,98,31.4,8,7.9,0.9,0.1,0.6,0.2,80,35.3,8.3,4.6,0.6,0,5.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
131021264311.009017 400~450만원미만,소계,96.6,28.3,11.1,6.2,1.5,0.1,0.3,0,5.8,89.2,29.2,15.4,5.9,3.1,0.2,0.5,0.1,97.5,31.4,12.5,10.6,1.3,0.3,0.1,0.5,92.9,35.8,7.5,8.5,0.7,0.3,0.3,0,0.1,5.8,90,34.3,8.4,8,0.2,0.2,0.4,0.1,81.8,30,5,7.5,0.6,0,4.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
131021264311.009018 450~500만원미만,소계,95.2,31.4,12.1,10,1.7,0.1,0.4,0,5.2,86.8,37.5,15.4,5.2,2.6,0.2,0.2,0.2,92.8,29.6,12.3,9.1,2.9,0.5,0.1,0,97.6,34.9,16.7,7.5,0.1,0.4,0.1,0,0,4.5,93.4,32.5,9.2,8.6,1.4,0,0.1,0.5,82.7,32.2,4.9,7.9,1.1,0,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
131021264311.009019 500~550만원미만,소계,87.9,35.9,11.7,6.4,1.6,0.4,0.2,0,4.9,99.2,30.2,14.3,7.3,5.2,0.3,0.2,0.2,85.8,35.9,12.9,11.1,3.1,0.1,0.2,2.8,102.8,30,16.4,3,1.7,0.2,0.4,0,0,6.6,90.7,38.5,8,7.1,1.2,0.2,0.1,0,87.2,24.5,12.5,8.8,1.7,0,6.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
131021264311.009020 550~600만원미만,소계,94.7,30.7,8.7,8.9,1.1,0.3,0.2,0,6.9,92.5,41.2,14.1,7.8,5.7,1,0.2,0,94.8,33.4,16.2,11.2,4.3,0.5,0.1,1.2,94.3,32,16.2,7.7,2.3,0,0,0.3,0,4.6,90.5,37.1,12.1,7,1.6,0,0,0,84.3,30.7,6.8,7.9,0.9,0.2,4.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
131021264311.009021 600만원이상,소계,77.2,44.8,12.7,7,1,0.1,0,0,3,93.8,37.6,13.2,5.4,1.8,0.5,0.1,0,84,58,10.9,9.2,4.4,1,0,0.2,87.7,45,14.6,11.3,3.2,1.1,0,0,0.2,3.1,87,46.2,8.6,9.7,2.8,0.2,1.1,0.1,83.9,41.9,6.6,6.2,2.4,0.3,3.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
131021264311.009022 모름/무응답,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,75.9,30.4,25.5,8.4,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
