131011264311 통계분류(2),131011264311 통계분류(3),Y2016 2016,Y2016 2016.1,Y2016 2016.2,Y2016 2016.3,Y2016 2016.4,Y2016 2016.5,Y2016 2016.6,Y2016 2016.7,Y2016 2016.8,Y2017 2017,Y2017 2017.1,Y2017 2017.2,Y2017 2017.3,Y2017 2017.4,Y2017 2017.5,Y2017 2017.6,Y2017 2017.7,Y2018 2018,Y2018 2018.1,Y2018 2018.2,Y2018 2018.3,Y2018 2018.4,Y2018 2018.5,Y2018 2018.6,Y2018 2018.7,Y2019 2019,Y2019 2019.1,Y2019 2019.2,Y2019 2019.3,Y2019 2019.4,Y2019 2019.5,Y2019 2019.6,Y2019 2019.7,Y2019 2019.8,Y2019 2019.9,Y2020 2020,Y2020 2020.1,Y2020 2020.2,Y2020 2020.3,Y2020 2020.4,Y2020 2020.5,Y2020 2020.6,Y2020 2020.7,Y2021 2021,Y2021 2021.1,Y2021 2021.2,Y2021 2021.3,Y2021 2021.4,Y2021 2021.5,Y2021 2021.6,Y2022 2022,Y2022 2022.1,Y2022 2022.2,Y2022 2022.3,Y2022 2022.4,Y2022 2022.5,Y2022 2022.6,Y2022 2022.7,Y2022 2022.8,Y2023 2023,Y2023 2023.1,Y2023 2023.2,Y2023 2023.3,Y2023 2023.4,Y2023 2023.5,Y2023 2023.6,Y2023 2023.7,Y2023 2023.8,Y2024 2024,Y2024 2024.1,Y2024 2024.2,Y2024 2024.3,Y2024 2024.4,Y2024 2024.5,Y2024 2024.6,Y2024 2024.7
131011264311 통계분류(2),131011264311 통계분류(3),13103126431T1 도보,13103126431T2 자가용 승용/승합차,13103126431T3 버스(대중교통),13103126431T4 자전거,13103126431T5 지하철,13103126431T6 오토바이,13103126431T7 택시,13103126431T10 배(선박),13103126431T12 없음,13103126431T1 도보,13103126431T2 자가용 승용/승합차,13103126431T3 버스(대중교통),13103126431T4 자전거,13103126431T5 지하철,13103126431T6 오토바이,13103126431T7 택시,13103126431T13 모름/무응답,13103126431T1 도보,13103126431T2 자가용 승용/승합차,13103126431T3 버스(대중교통),13103126431T4 자전거,13103126431T5 지하철,13103126431T6 오토바이,13103126431T7 택시,13103126431T8 셔틀버스,13103126431T1 도보,13103126431T2 자가용 승용/승합차,13103126431T3 버스(대중교통),13103126431T4 자전거,13103126431T5 지하철,13103126431T6 오토바이,13103126431T7 택시,13103126431T8 셔틀버스,13103126431T9 전세버스,13103126431T12 없음,13103126431T1 도보,13103126431T2 자가용 승용/승합차,13103126431T3 버스(대중교통),13103126431T4 자전거,13103126431T5 지하철,13103126431T6 오토바이,13103126431T7 택시,13103126431T8 셔틀버스,13103126431T1 도보,13103126431T2 자가용 승용/승합차,13103126431T3 버스(대중교통),13103126431T4 자전거,13103126431T5 지하철,13103126431T6 오토바이,13103126431T12 없음,13103126431T1 도보,13103126431T2 자가용 승용/승합차,13103126431T3 버스(대중교통),13103126431T4 자전거,13103126431T5 지하철,13103126431T6 오토바이,13103126431T7 택시,13103126431T11 기타,13103126431T12 없음,13103126431T1 도보,13103126431T2 자가용 승용/승합차,13103126431T3 버스(대중교통),13103126431T4 자전거,13103126431T5 지하철,13103126431T6 오토바이,13103126431T7 택시,13103126431T11 기타,13103126431T12 없음,13103126431T1 도보,13103126431T2 자가용 승용/승합차,13103126431T3 버스(대중교통),13103126431T4 자전거,13103126431T5 지하철,13103126431T6 오토바이,13103126431T7 택시,13103126431T12 없음
131011264311 통계분류(2),131021264311.006002004 40대,97.1,26.5,10.1,3.3,0.7,0.4,0.5,0,5.9,95.6,24.8,10.9,3.4,3.1,0.1,0.2,0.4,104.5,32,10.5,4.3,1.6,0.1,0,0.3,91.8,32.7,8.9,2.7,1.2,0,0,0,0,8.9,97.9,33.8,7.5,3.2,2.1,0.3,0,0,89.5,24.2,7.4,1.4,1,0,10.4,80,37.4,6,4,2.9,0.1,0,0,9,90.2,38,9.2,1.8,3.1,0,0.4,0,8.5,86.1,30.8,9.4,2.2,0,0.2,0,6.9
131011264311 통계분류(2),131021264311.006002005 50대,100.3,22.3,11.5,4.3,1.3,0.2,0.2,0,5.6,98.2,19.7,17.8,3.5,3.8,0,0,0.2,99.1,29.5,16.2,3.7,2.8,0.4,0.2,0.1,97.4,25.8,18.1,1.1,0.3,0.6,0,0,0.1,5.6,96.2,29.8,9.1,4,0.3,0,0,0,86.1,28.2,7.8,1.5,0.9,0.2,6,88,24.7,11.2,1.8,1.5,0.2,0,0.7,7.2,94.6,30.2,15.2,1.5,1.6,0.4,0,0.1,7.1,91,26.7,11,3.9,0.3,0,0.4,5.8
131011264311 통계분류(2),131021264311.006002006 60대,108.6,8.4,10.2,3.2,0.4,0,0,0,4,102.1,10.8,12.7,1.2,4.1,0.1,0,0.4,107.5,14.1,14.7,2.5,0.9,0.1,0.2,2.1,97.8,16,18.6,1.2,0.9,0,0,1.3,0,6.8,102.9,16,14.3,1.1,1.3,0,0.7,0,98.8,13.8,6.6,1.7,1.2,0,2.5,93.8,18,8.5,3.7,1.8,0,0,0.2,9.1,106.6,18.2,14.4,0.8,0.3,0,0,0,8.2,99,14.5,13.8,0.8,1.8,0,0,5.2
131011264311 통계분류(2),131021264311.006002007 70세이상,103.9,4.6,5,0.3,0,0,0.9,0,4.1,94.4,3.9,11.2,1.5,0,0,0,0.6,103.6,6.6,3,1,0,0,0,4.1,100.9,4.3,9.9,0.4,0,0,0,1.1,0,4.8,109.7,8.5,10.8,1.3,0.3,0.2,0,0.2,101.7,4.6,4,0,0.6,0,3.8,97,4.1,7.8,1,0.6,0,0,0,7.5,110.7,5.9,9.8,0.2,0.7,0.1,0,0.2,6.6,105.6,8.6,5.6,0.4,0.4,0,0,4.7
131021264311.007001 초졸이하,소계,116.4,7.9,8.2,5.6,0.2,0.3,0.4,0,3.7,112.1,9.2,11.7,4.9,0,0.1,0,0.7,110.4,9.4,7.7,10.9,0,0,0.1,2.4,107.1,5.7,8.5,9.1,0,1,0,0.3,0,4.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,104.5,7.7,9.2,5.4,0.7,0.2,0,0.7,5.9,106.5,10.2,5.1,6.2,0.6,0,0,5.4
131021264311.007002 중졸,소계,105.9,6.2,9.8,8.7,0.2,0.6,0,0,4.6,106.7,8.6,8.7,8.7,2.2,0.1,0,0.3,112.6,9.3,8.4,7.8,0.2,0.9,0.3,0.4,108,10.6,9.4,7.1,0.5,0.2,0,0.2,0,7.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,112.5,7.1,7.4,7.4,0.8,0,0.1,0.1,5.4,104.4,5.1,8.2,6.9,0.4,0.2,0.2,4
131021264311.007003 고졸,소계,93,26.5,10.6,7,1.4,0.2,0.5,0,7.4,88.6,28.9,14.8,5.1,4,0.9,0.2,0.2,91.7,28.7,14,9.1,3,0.4,0,0.6,90.8,28.6,14.4,5.7,1.2,0.4,0.1,0.3,0,6.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,90.4,27.3,17.1,3.3,1.3,0.5,0.1,0,6.9,86.8,23.3,13.9,5.4,0.8,0.2,0.1,4.2
131021264311.007004 대졸(4년제미만),소계,87.3,31.8,12.5,8.6,1.5,0,0.1,0,6.6,88.9,30,16.9,7.6,3,0.2,0.4,0.4,80.4,49.6,13.2,9.8,1.9,0.9,0.1,0.4,84,44.8,13.7,4.3,1.1,0.8,0,0,0,5.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,83,45.8,12.6,6.8,1.8,0.1,0.2,0,5.2,73.1,43.5,10.5,6.9,0.6,0.1,0,6.4
131021264311.007005 대졸(4년제이상),소계,82.4,50.8,8.2,5.7,1.5,0.6,0,0,4.9,79.9,51.7,6.9,7.4,3.8,0.3,0.1,0.2,84.4,54.8,8.3,9.8,4.2,0.4,0.1,0,92.9,45.6,11.7,8.3,1.9,0.2,0.3,0,0.1,3.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,76.9,54.1,10.1,5.7,0.9,0.4,0.1,0,3.9,76.4,46.3,8.4,7.3,0.5,0.1,0,5.1
131021264311.007006 대학원이상,소계,65.4,98.9,0,12,0,0,0,0,0,117.4,54.8,4.4,19.3,1.8,1.3,0,0,85.2,71.5,6.3,13.4,0,0,0,0,73,56.1,17.3,1,0,0,0,0,0,2.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,43.4,83,1.5,3.7,0,0,0,0,3.3,71,75.5,0,23.5,0,0,0,0.6
131021264311.008001 관리자,소계,48,89.1,14.2,2.3,0,0,0,0,3.6,46.9,101,0.7,2.8,3.2,0,0,0,68.7,75.3,3.1,21.7,0,1.4,0,0,44,89,5.7,15.7,2.1,0,0,0,0,1.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80.1,68.6,0,2.1,0,1.3,0,0,0,45.8,86.9,0,6.9,0,0,0,8.8
131021264311.008002 전문가및관련종사자,소계,65.3,79.2,5.8,7.9,0.4,0.3,0,0,3.7,71,61,9.8,11.9,2,0.4,0,0,62.6,68.7,6.7,11.6,5.4,0,0,0,71.4,56.6,12.1,6.1,2.5,1,0,0,0.5,3.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,69.8,64.2,7.6,6.2,0,0,0,0,3.4,62.6,75.9,8,10.8,0,0.1,0.3,4.7
131021264311.008003 사무종사자,소계,85.7,44.5,7.9,7.4,1.7,0.5,0.1,0,6.4,78.1,48.8,10.2,6.9,3.7,0.3,0.1,0.2,83.6,52.7,12.7,7.7,2.3,0.8,0.2,0.6,98.7,39.6,11.8,7.2,2,0.5,0.3,0,0,4.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,74.9,49.6,12.8,6.1,1.4,0.5,0.1,0,4.3,73.7,43.8,10.4,6.6,0.3,0,0,5.3
131021264311.008004 서비스종사자,소계,90.4,32.4,8.7,6.3,2,0.2,0.7,0,6.9,80.7,36.1,13.7,8.3,3.1,1.2,0.6,0.5,88.4,41.4,12,7.7,2.9,0.3,0,0,81.5,40.8,12.7,5,0.9,0.4,0,0,0.1,5.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,90.1,37.5,13.9,4.9,2.2,0.2,0.2,0,7.5,79.5,34.8,13.8,5.1,1.1,0.1,0,5.1
131021264311.008005 판매종사자,소계,86.5,32.5,9.3,8.5,1.1,0.3,0.1,0,8.5,84,36.8,11.9,4.9,4.2,0.4,0.1,0.1,83.3,41.3,9.9,8.4,3.6,0.3,0.1,0.3,85.2,48.4,11,6.1,1.4,0.4,0.4,0,0,5.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,84.4,42.7,15.2,4.8,1.2,0,0.3,0.1,4.9,84.9,34.7,9.9,4.7,0.7,0,0,5.2
