131011368651 통계분류(2),131011368651 통계분류(3),Y2024 2024,Y2024 2024.1,Y2024 2024.2,Y2024 2024.3,Y2024 2024.4,Y2024 2024.5,Y2024 2024.6,Y2024 2024.7,Y2024 2024.8,Y2024 2024.9,Y2024 2024.10,Y2024 2024.11,Y2024 2024.12,Y2024 2024.13,Y2024 2024.14,Y2024 2024.15,Y2024 2024.16,Y2024 2024.17,Y2024 2024.18,Y2024 2024.19,Y2024 2024.20,Y2024 2024.21,Y2024 2024.22,Y2024 2024.23,Y2024 2024.24,Y2024 2024.25,Y2024 2024.26,Y2024 2024.27,Y2024 2024.28,Y2024 2024.29,Y2024 2024.30,Y2024 2024.31,Y2024 2024.32,Y2024 2024.33,Y2024 2024.34,Y2024 2024.35,Y2024 2024.36,Y2024 2024.37,Y2024 2024.38,Y2024 2024.39,Y2024 2024.40,Y2024 2024.41,Y2024 2024.42,Y2024 2024.43,Y2024 2024.44,Y2024 2024.45,Y2024 2024.46,Y2024 2024.47,Y2024 2024.48,Y2024 2024.49,Y2024 2024.50,Y2024 2024.51,Y2024 2024.52
131011368651 통계분류(2),131021368651.006002005 50대,56.7,9.3,16.6,12.8,6.6,11.1,2.4,5.2,2.2,0,4.2,0,0,0.9,2.2,0.5,0.5,0.6,1.7,1.2,0.2,2.5,0,0,0,0.3,0.7,0,0,0,0,0,0.1,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3
131011368651 통계분류(2),131021368651.006002006 60대,70.2,3.5,15.9,9.3,1.1,8.7,0.9,8.4,1.1,0,2.3,0,0,0.5,1.3,0.5,0,0.9,1.5,1.8,2,3.1,0,0,0.1,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
131011368651 통계분류(2),131021368651.006002007 70세 이상,81.2,0.6,3.4,7.2,1.3,6.6,0,15.5,0,0,0,0,0,0,0.6,0,0.6,0.5,0.6,1,2.1,0.5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
131021368651.007001 초졸이하,소계,56.7,0.4,3.5,5.5,1,4.6,4.5,13.8,1.4,7.7,4.3,6.5,0.3,0,1.8,0,0.6,5.5,1.6,2.2,1.7,0.5,0.3,0,6.2,0,0.6,0,0.2,0,0,0,0,0,0.4,0.4,0,0.2,0,0.2,0,0,0.4,0,0.3,0,0,0,0,0,0,0,0.6
131021368651.007002 중졸,소계,56.4,3.1,3.9,2.7,0.2,2.5,4.4,7.7,5.7,8.5,3.2,12.7,0.4,0.5,2.5,0.2,1,2.9,1.2,1.3,2.2,0.2,1.1,0.6,0.8,0,0.4,0.2,0.4,0,0.6,0.5,0.1,0,0.2,0.6,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0.4
131021368651.007003 고졸,소계,53.8,9.9,17.5,5.4,2.8,5.6,3.8,5.6,3.5,3.5,3.2,2.1,3,2,2.3,0.7,2.4,0.6,0.9,0.8,1.1,1.2,0.6,0.3,0.2,0.1,0.8,0.1,0.1,0,0.1,0.1,0,0.1,0.1,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1
131021368651.007004 대졸(4년제미만),소계,34.5,17.3,14.7,11.7,7.2,7.6,5.2,3.7,4.5,3.6,4.9,0.6,4.3,4.3,2.7,3,2.1,0.6,0.9,1,0.1,0.9,0.5,0.8,0.3,1,0.5,0.2,0.1,0.7,0.1,0.1,0.3,0.2,0,0,0.2,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0.1,0,0,0.3
131021368651.007005 대졸(4년제이상),소계,24.3,25.5,8.8,13.4,13.5,8.2,6.7,2.4,6.6,4.9,3.8,1.8,4.5,3.7,2.3,3.7,1.1,0.9,0.9,0.4,0,0.4,0.8,1.3,0.2,1,0,0.5,0.5,0.4,0,0.1,0.1,0.2,0.1,0,0.1,0,0.2,0,0.1,0.1,0,0.1,0,0.1,0,0,0,0,0,0,0.3
131021368651.007006 대학원이상,소계,16.7,18.3,10.3,2.6,24.2,18.6,11.4,2,9.8,6.9,2.1,1.4,2.1,6.5,6.8,7.7,2.6,0,1.4,1.5,2.4,0,2.7,0,0,1.5,0,1.3,1.4,0,1.8,0,1.5,0,0,0,0,1.4,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,2.2
131021368651.008001 관리자,소계,22.1,15.4,18.8,3.5,42.1,3.8,9.9,2.9,4,4.8,3.8,0,3.1,2.8,1.5,0,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131021368651.008002 전문가및관련종사자,소계,15.1,26,10.7,12.9,31.5,10,7.1,3.4,6.1,3.6,4,0.2,2.7,4.5,3,5.3,3.3,0.6,0.7,1.2,0,0.3,0.5,2.1,0.5,1.3,0,2.2,0,0.6,0.8,0,0.2,0,0.3,0,0.3,0.2,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0.6
131021368651.008003 사무종사자,소계,22.8,26.1,8.7,13.9,10.3,7.1,7,2.1,7.8,4.8,3,1.8,5.3,4.3,2,4.4,0.8,0.5,0.7,0.1,0,0.4,0.6,1.4,0.1,1.1,0,0.3,0.5,0.8,0,0.2,0.4,0.1,0.1,0,0.2,0.1,0.1,0,0,0.2,0,0.1,0,0.1,0,0,0.1,0,0,0,0.2
131021368651.008004 서비스종사자,소계,41.5,15.8,18.1,9.6,5.7,6.7,3.7,4.1,4.9,3.5,4.1,1.1,2.6,3.1,3,1.3,1.5,1.8,1.3,0.8,0.1,0.8,0.7,0.6,0.4,0.9,0.2,0.4,0.3,0.3,0,0,0,0.3,0,0,0.2,0,0,0.1,0.3,0,0,0.1,0,0,0,0,0,0,0,0,0
131021368651.008005 판매종사자,소계,45.7,13.9,17.3,7.2,6.4,7.5,4,4.7,3,2.1,5.8,0.4,4.4,1.8,3.6,2.1,2.1,0.4,1.3,1.5,0.4,1,0.4,0.9,0.1,0.5,0.6,0,0.1,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.1,0,0,0,0,0,0.4
