auser_lfst_id,info_obtn_dt,auser_sxdst_cd,age_group_cd,occpn_nm,hshld_incm_group_nm,mrrg_yn_nm,chdrn_yn_nm,rsid_fom_nm,auser_ara_ctprv_nm,auser_ara_gu_nm,auser_ara_dong_nm,car_group_nm,craln_tlphn_mkr_nm,craln_tlphn_sbscr_cmpn_nm,frnt_ntds_prfn_cont,dgtl_hmpl_prfn_cont,lsur_car_prfn_cont,bty_prfn_cont,lilhd_kchn_prfn_cont,sprt_fshn_prfn_cont,grcs_helth_prfn_cont,jrny_prfn_cont,fshn_wear_prfn_cont,auser_fshn_stff_prfn_cont,lfst_cd,info_obtn_site_url
D***1,201903**,F,3,,,      ,          ,,경기,수원시 팔달구,인계동,,,,,,,,,,,,패션의류,,생활/주방,http://m.11st.co.kr/MW/api/app/elevenst/product/getProductDetail.tmall?prdNo=1958338404&appId=01&appType=appmw&appVCA=816&deviceID=198c3238-5334-3795-9b89-08bf4960bcb3&tStoreYN=N&deviceType=android&detailViewType=webviewReady
D***1,201903**,F,5,,,      ,          ,,경기,수원시 영통구,망포동,,,,,,레저/자동차,,,,,,,,레저/자동차,http://mitem.gmarket.co.kr/ItemDetail/Index?goodsCode=481687766&seq=5fd6990f7193431eb8f40781cda5e5db&IsSmartDelivery=False&CustNo=jE3MR38jNDAxNYw4Mjk5MjAwMDh/Rw==&IsShowCertInfo=True&IsOrg=false
D***0,201903**,F,5,"사무직 (일반사무직, 공무원, 직업군인)",300~399만원,예    ,자녀 있음 ,아파트/ 주상복합,광주,북구,용봉동,"중형차 (쏘나타, K5, 말리부, 골프급 등)",삼성,KT,,,,,,,식품/건강,,,,스포츠패션,http://m.11st.co.kr/MW/api/app/elevenst/product/getProductDetail.tmall?prdNo=2520432243&trTypeCd=MAS04&trCtgrNo=950075&appId=01&appType=appmw&appVCA=823&deviceID=7f35496b-3305-3a45-aa9d-a35cb1298303&tStoreYN=N&deviceType=android&detailViewType=webviewReady
D***9,201903**,M,2,"학생 (초중고학생, 대학생, 대학원생)",800~899만원,아니오,          ,연립주택/ 다세대/ 빌라,서울,구로구,오류동,,삼성,SKT,,,,뷰티,,,,,,,디지털/가전,http://m.gsshop.com/prd/prd.gs?prdid=35593255&pgmID=305059
D***1,201903**,F,4,"전문직 (의사, 판검사, 예술가, 종교인)",300~399만원,아니오,          ,단독주택,서울,종로구,이화동,"준중형SUV (투싼, 스포티지, QM5, 티구안급 등)",삼성,SKT,가구/인테리어,,,,,,,,,,가구/인테리어,http://m.11st.co.kr/MW/api/app/elevenst/search/listing.tmall?searchKeyword=보석십자수&decSearchKeyword=보석십자수&viewType=image
D***4,201903**,M,3,"생산/노무직 (생산감독, 경비원, 공장근로자)",300~399만원,아니오,          ,오피스텔,부산,동래구,사직1동,"MPV (카니발, 올란도, 피카소급, 오딧세이 등)",삼성,SKT,,,,뷰티,,,,,,,뷰티,http://m.gsshop.com/prd/prd.gs?prdid=38053229&bnclick=main-t02_ptiA_RelatedItemItemArViewTvVer2Refine640&rank=16&mseq=A00054-L_D-16&fromApp=Y
D***1,201903**,M,4,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,용인시 기흥구,공세동,"대형SUV (베라크루즈, 모하비, 투아렉급 등)",애플,LG U+,,,,,생활/주방,,,,,,뷰티,http://m.gsshop.com/prd/prd.gs?prdid=35298396
D***7,201903**,M,2,,,      ,          ,,대구,달서구,송현2동,,,,,,,뷰티,,,,,,,뷰티,http://mitem.gmarket.co.kr/ItemDetail/Index?goodsCode=1497226429&seq=1c6955e95205452480a9427c212aee17&IsSmartDelivery=False&CustNo=DE5MR38DODcxMQy5MDU0NTA5Nzh/Rw==&IsShowCertInfo=True&IsOrg=false
D***0,201903**,M,5,,,      ,          ,,충북,청원군,내수읍,,,,,,,,,,식품/건강,,,,식품/건강,http://m.11st.co.kr/MW/api/app/elevenst/product/getProductDetail.tmall?prdNo=2151109743&appId=01&appType=appmw&appVCA=811&deviceID=3a80a438-6a4a-3a2c-9e35-5c873f0f8911&tStoreYN=N&deviceType=android&detailViewType=webviewReady
D***8,201903**,F,3,"주부 (전업주부, 파트타임 근무 주부)",200~299만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,의정부시,낙양동,,삼성,알뜰폰(MVNO),,,,,생활/주방,,,,,,생활/주방,http://m.coupang.com/vm/products/191160366/items/546348438/offers/banner?vendorItemId=4432450440&sdpVisitKey=
D***8,201903**,M,5,,,      ,          ,,강원,원주시,명륜2동,,,,,,,,,,,,,패션잡화,뷰티,http://m.11st.co.kr/MW/api/app/elevenst/product/getProductDetail.tmall?prdNo=1859295522&appId=01&appType=appmw&appVCA=815&deviceID=198c3238-5334-3795-9b89-08bf4960bcb3&tStoreYN=N&deviceType=android&detailViewType=webviewReady
