,count,unique,top,freq,mean,std,min,25%,50%,75%,max,missing_count,missing_ratio
RESPOND_ID,12526.0,,,,96767.82971419448,66097.30509392757,948.0,41316.25,99475.0,138445.0,265059.0,0,0.0
EXAMIN_BEGIN_DE,12526.0,,,,20230701.0,0.0,20230701.0,20230701.0,20230701.0,20230701.0,20230701.0,0,0.0
HOLD_INDVDL_MVMN_MN_ONE_TY,12526,6,"오토바이(바이크, 스쿠터)",4191,,,,,,,,0,0.0
SEXDSTN_FLAG_NM,12526,2,남성,10038,,,,,,,,0,0.0
AGRDE_FLAG_NM,12526,5,40대,4741,,,,,,,,0,0.0
HSHLD_COMPO_NM,12526,7,자녀 성장기(막내가 초등학생～고등학생),3566,,,,,,,,0,0.0
HSHLD_INCOME_DGREE_NM,12526,14,500만원 내외,2057,,,,,,,,0,0.0
OCCP_CL_NM,12526,10,사무직,2785,,,,,,,,0,0.0
ANSWRR_OC_AREA_NM,12526,17,경기,3477,,,,,,,,0,0.0
