keyword1,keyword2,similarity
디자인,심플,0.545
성능,디자인,0.503
디자인,승차,0.490
아파트,관할,0.480
디자인,아파트,0.478
심플,승차,0.467
디자인,맘에듭니,0.462
디자인,보더,0.461
디자인,은근,0.445
드네,디자인,0.445
