prcha_prrrg_prduc_id,info_obtn_dt,auser_sxdst_cd,age_group_cd,occpn_nm,hshld_incm_group_nm,mrrg_yn_nm,chdrn_yn_nm,rsid_fom_nm,auser_ara_ctprv_nm,auser_ara_gu_nm,auser_ara_dong_nm,craln_tlphn_mkr_nm,craln_tlphn_sbscr_cmpn_nm,prduc_ctgry_lrcls_nm,prduc_ctgry_mdcls_nm,prduc_ctgry_smcls_nm,otdr_prduc_nm,info_obtn_site_url
D***1,201903**,M,2,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,      ,          ,아파트/ 주상복합,부산,수영구,망미2동,삼성,SKT,자전거,자전거신발/고글/헬멧,보호대,나스카썬블럭 쿨토시/네이비/팔토시/자외선차단/스포츠/골프/등산/자전거/테니스/암슬리브/운전,http://www.11st.co.kr/product/SellerProductDetail.tmall?method=getSellerProductDetail&prdNo=1274967893
D***3,201903**,F,4,"주부 (전업주부, 파트타임 근무 주부)",400~499만원,예    ,자녀 있음 ,아파트/ 주상복합,경기,구리시,인창동,삼성,SKT,자전거,튜닝용품,트레일러,알톤키즈 트레일러/자전거/캐리어/손잡이/보조바퀴,http://www.11st.co.kr/product/SellerProductDetail.tmall?method=getSellerProductDetail&prdNo=1249445352
D***5,201903**,M,3,"사무직 (일반사무직, 공무원, 직업군인)",100~199만원,아니오,          ,오피스텔,서울,관악구,신림동,애플,LG U+,자전거,자전거신발/고글/헬멧,헬멧,아동용자전거헬멧아동보호대 킥보드 인라인헬멧,http://www.11st.co.kr/product/SellerProductDetail.tmall?method=getSellerProductDetail&prdNo=1051520039
D***6,201903**,F,5,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,      ,          ,아파트/ 주상복합,경기,고양시 일산서구,가좌동,삼성,SKT,캠핑/골프/헬스/자전거,자전거의류/용품,신발,뉴발란스운동화 574 NEWBALANCE 574 (ML574SS2),http://www.hnsmall.com/display/goods.do?goods_code=11979567
D***0,201903**,M,2,"학생 (초중고학생, 대학생, 대학원생)",100만원 미만,아니오,          ,연립주택/ 다세대/ 빌라,서울,서초구,잠원동,애플,SKT,자전거,튜닝용품,전시스탠드,토픽스텐드 DUAL TOUCH BIKE STAND 자전거거치대,http://www.11st.co.kr/product/SellerProductDetail.tmall?method=getSellerProductDetail&prdNo=1154312380
D***2,201903**,F,2,"사무직 (일반사무직, 공무원, 직업군인)",400~499만원,아니오,          ,연립주택/ 다세대/ 빌라,경기,평택시,서정동,애플,알뜰폰(MVNO),레저/자동차,자전거/용품,자전거액세서리,정품미국 CREE사 LED Q5 줌 라이트/자전거/전조등/후레쉬/랜턴/손전등/거치대/건전지/안전등/용품/야간등,http://www.11st.co.kr/product/SellerProductDetail.tmall?method=getSellerProductDetail&prdNo=1200933401
D***1,201903**,M,2,"학생 (초중고학생, 대학생, 대학원생)",100만원 미만,아니오,          ,연립주택/ 다세대/ 빌라,서울,동작구,상도동,삼성,LG U+,자전거/보드,자전거타이어/부품,자전거튜브,[CST]700x25/32C fv48mm 자전거튜브 프레스타 흥아 켄다,http://item.gmarket.co.kr/Item?goodscode=1283527298
D***,201903**,M,2,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,      ,          ,아파트/ 주상복합,제주,제주시,일도2동,삼성,SKT,자전거,튜닝용품,거치대,(추천)말대가리 스마트 거치대/ 휴대폰거치대 스마트폰거치대 거치대 차량용폰거치대 핸폰거치대 헨드폰거,http://www.11st.co.kr/product/SellerProductDetail.tmall?method=getSellerProductDetail&prdNo=1222876667
D***,201903**,F,3,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,      ,          ,아파트/ 주상복합,서울,강남구,논현1동,삼성,SKT,자전거,자전거부품,안장,삼천리전립선 안장패드/MTB ROAD 안장용 쿠션커버/하이브리드 안장커버/자전거안장커버/로드용 자전거용품,http://www.11st.co.kr/product/SellerProductDetail.tmall?method=getSellerProductDetail&prdNo=1232420657
D***,201903**,M,4,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,      ,          ,아파트/ 주상복합,서울,성동구,금호동1가,삼성,SKT,자전거,자전거,MTB,삼천리자전거/하운드팀50D/MTB자전거/산악자전거,http://www.11st.co.kr/product/SellerProductDetail.tmall?method=getSellerProductDetail&prdNo=1254184372
D***9,201903**,M,5,"사무직 (일반사무직, 공무원, 직업군인)",200~299만원,      ,          ,아파트/ 주상복합,서울,노원구,하계동,삼성,SKT,레저/자동차,자전거/용품,자전거의류/잡화,GIROJAG 반장갑/지로 장갑/땀흡수/통기성/4웨이 신축성/충격흡수패딩/자전거장갑/지로장갑/자전거용품,http://www.11st.co.kr/product/SellerProductDetail.tmall?method=getSellerProductDetail&prdNo=1274875036
D***4,201903**,M,3,"서비스직 (요식업, 숙박업, 미용실종업원)",200~299만원,아니오,          ,단독주택,인천,서구,신현동,애플,LG U+,레저/자동차,자전거/용품,자전거액세서리,스나이퍼코리아블랙울프 18650배터리 충전기모음,http://www.11st.co.kr/product/SellerProductDetail.tmall?method=getSellerProductDetail&prdNo=1272010256
D***2,201903**,F,4,"사무직 (일반사무직, 공무원, 직업군인)",800~899만원,예    ,자녀 있음 ,연립주택/ 다세대/ 빌라,서울,서초구,양재동,삼성,LG U+,레저/자동차,자전거/용품,자전거의류/잡화,극세사기모 방한 넥워머 바라클라바 겨울 목토시 자전거 방한마스크 멀티스카프 털모자,http://www.11st.co.kr/product/SellerProductDetail.tmall?method=getSellerProductDetail&prdNo=1171528780
